Date,Brand,Item Category,Item Group,Sub Item Group,Thickness,Size,Item Name,AX Code,QTY/Box,QTY/M2,QTY/Sh,Price/M2,Price/Sh,Price/Box,SO. No.,Invoice No.,Customer Name,Value Without Vat,Vat 14%,Total Value,Shipment No.,Shipment Code,Ex. Rate,Price/M2 +14%,Current Stock,Cost Per M2,Total Cost,Margin,Cost per Box,Value per Box,Box + VAT,Customer Segment,Lead Time,Arrival Date,Shipment Lead Time
10-Aug-23,Fuji,Plate,Solvent,Analog,2.84,1067 x 1524 mm,Flexo Solvent Analog Plate 2.84 / 1067 x 1524 mm,FC2007777,1,13,8,"EGP 2,719 ","EGP 4,422 ","EGP 35,375 ",FLX.2023.SO.000020,FLX.2023.M.INV.00018,Hammoda,"EGP 35,375 ","EGP 4,952 ","EGP 40,327 ",2023/147,2023-P01,39.44,"EGP 3,100 ",0,"EGP 1,995 ","EGP 25,947 ",26.70%,"EGP 25,947 ","EGP 35,375 ","EGP 40,327 ",Repro House,0,15-May-23,87
15-Aug-23,Fuji,Plate,Solvent,Analog,2.84,1067 x 1524 mm,Flexo Solvent Analog Plate 2.84 / 1067 x 1524 mm,FC2007777,1,13,8,"EGP 2,807 ","EGP 4,565 ","EGP 36,516 ",FLX.2023.SO.000024,FLX.2023.M.INV.00021,CMX,"EGP 36,516 ","EGP 5,112 ","EGP 41,628.0 ",2023/147,2023-P01,39.44,"EGP 3,200 ",0,"EGP 1,995 ","EGP 25,947 ",28.90%,"EGP 25,947 ","EGP 36,516 ","EGP 41,628 ",Repro House,0,15-May-23,92
13-Aug-23,Sakata,Ink,SUPERNOVA,White,,,Flexo Ink SUPERNOVA White,FC2003723,80,400,400,EGP 720 ,EGP 720 ,"EGP 3,600 ",FLX.2023.SO.000022,FLX.2023.M.INV.00019,Pacman CCL,"EGP 288,000 ","EGP 40,320 ","EGP 328,320 ",2023/172,2023-I01,39,EGP 821 ,0,EGP 668 ,"EGP 267,013 ",7.30%,"EGP 3,338 ","EGP 3,600 ","EGP 4,104 ",Label,31,26-Jul-23,18
26-Jul-23,Sakata,Ink,SUPERNOVA,White,,,Flexo Ink SUPERNOVA White,FC2003723,1,5,5,EGP 0 ,EGP 0 ,EGP 0 ,Samples,YAG-TO003175,Tulip for Printing,EGP 0 ,EGP 0 ,EGP 0 ,2023/172,2023-I01,39,EGP 0 ,0,EGP 668 ,"EGP 3,338 ",0.00%,"EGP 3,338 ",EGP 0 ,EGP 0 ,Label,0,26-Jul-23,0
26-Jul-23,Sakata,Ink,PROCESS,Black,,,Flexo Ink PROCESS Black,FC2003724,1,5,5,EGP 0 ,EGP 0 ,EGP 0 ,Samples,YAG-TO003175,Tulip for Printing,EGP 0 ,EGP 0 ,EGP 0 ,2023/172,2023-I01,39,EGP 0 ,0,EGP 4 ,EGP 22 ,0.00%,EGP 22 ,EGP 0 ,EGP 0 ,Label,0,26-Jul-23,0
26-Jul-23,Sakata,Ink,PROCESS,Cyan,,,Flexo Ink PROCESS Cyan,FC2003725,1,5,5,EGP 0 ,EGP 0 ,EGP 0 ,Samples,YAG-TO003175,Tulip for Printing,EGP 0 ,EGP 0 ,EGP 0 ,2023/172,2023-I01,39,EGP 0 ,0,EGP 4 ,EGP 22 ,0.00%,EGP 22 ,EGP 0 ,EGP 0 ,Label,0,26-Jul-23,0
26-Jul-23,Sakata,Ink,PROCESS,Magenta,,,Flexo Ink PROCESS Magenta,FC2003726,1,5,5,EGP 0 ,EGP 0 ,EGP 0 ,Samples,YAG-TO003175,Tulip for Printing,EGP 0 ,EGP 0 ,EGP 0 ,2023/172,2023-I01,39,EGP 0 ,0,EGP 4 ,EGP 22 ,0.00%,EGP 22 ,EGP 0 ,EGP 0 ,Label,0,26-Jul-23,0
26-Jul-23,Sakata,Ink,PROCESS,Yellow,,,Flexo Ink PROCESS Yellow,FC2003727,1,5,5,EGP 0 ,EGP 0 ,EGP 0 ,Samples,YAG-TO003175,Tulip for Printing,EGP 0 ,EGP 0 ,EGP 0 ,2023/172,2023-I01,39,EGP 0 ,0,EGP 4 ,EGP 22 ,0.00%,EGP 22 ,EGP 0 ,EGP 0 ,Label,0,26-Jul-23,0
26-Jul-23,Sakata,Ink,SLEEVE,White,,,Flexo Ink SLEEVE White,FC2002222,1,5,5,EGP 0 ,EGP 0 ,EGP 0 ,Samples,YAG-TO003175,Tulip for Printing,EGP 0 ,EGP 0 ,EGP 0 ,2023/172,2023-I01,39,EGP 0 ,0,EGP 4 ,EGP 22 ,0.00%,EGP 22 ,EGP 0 ,EGP 0 ,Label,0,26-Jul-23,0
27-Aug-23,Fuji,Plate,Solvent,Analog,3.94,1067 x 1524 mm,Flexo Solvent Analog Plate 3.94 / 1067 x 1524 mm,FC2003735,3,29.3,18,"EGP 2,807 ","EGP 4,565 ","EGP 27,387 ",FLX.2023.SO.000025,FLX.2023.M.INV.00022,Hammoda,"EGP 82,161 ","EGP 11,503 ","EGP 93,664 ",2023/144,2023-P01,39.9,"EGP 3,200 ",0,"EGP 2,018 ","EGP 59,074 ",28.10%,"EGP 19,691 ","EGP 27,387 ","EGP 31,221 ",Repro House,31,15-May-23,104
